uid,title,desc_snippet,swe_confidence,swe_classification_tier,is_swe_adjacent,source
linkedin_li-4365375997,Redhat Openshift Engineer,"SciTec, a wholly owned subsidiary of Firefly Aerospace, is a dynamic non-traditional defense contractor that delivers advanced technologies in support of U.S. National Security and Defense. For the pa",0.6146838068962097,unresolved,False,scraped
linkedin_li-4389725757,Senior Instrumentation Engineer,"**Technical Solutions Inc.** 
 is currently seeking a
 **Senior Instrumentation and Controls Engineer** 
 for our client in the Pittsburgh, PA area. As a Senior Instrumentation and Controls Engineer, ",0.46026718616485596,unresolved,False,scraped
asaniczka_08153d0807fb9f0b,Engineering - Engineer Digital 3  Engineer Digital 3,"Job Description: FPGA design or verification engineer with at least 5 years of VHDL design or verfication experience for use in aerospace avionics applications.
Design
"" Design and deliver production ",0.5520699620246887,unresolved,False,kaggle_asaniczka
asaniczka_c0ada41ea54f89a7,Senior Digital Solutions Developer,"Komatsu Ltd. or Komatsu is a Japanese multinational corporation that manufactures construction, mining, forestry, military equipment, diesel engines, and industrial equipment like press machines, lase",0.6540845632553101,unresolved,False,kaggle_asaniczka
asaniczka_f941a4df68dc0b10,Senior Structural Engineer,"Clover Leaf Solutions, Inc. is looking for an experienced
Senior Structural Engineer
to join our growing team in Akens, SC. The Senior Structural Engineer will be full-time, on-site, and be responsibl",0.3966299891471863,unresolved,False,kaggle_asaniczka
asaniczka_070d317cb6bf97d1,Technical Sales Engineer,"Job Description
Key Responsibilities
Maintain positive and productive relationships with decision makers and influencers within the assigned territory
Develop new accounts by selling direct to end-use",0.5073705911636353,unresolved,False,kaggle_asaniczka
linkedin_li-4376154031,Sustaining Engineer,"**Job Description**
 As a Sustaining Engineer here at Honeywell, you will be responsible for maintaining and enhancing our software applications and systems to ensure their optimal performance and fun",0.5263153314590454,unresolved,False,scraped
arshkon_3903456734,Project Engineer,"Take your next career step at ABB with a global team that is energizing the transformation of society and industry to achieve a more productive, sustainable future.At ABB, we have the clear goal of dr",0.5814323425292969,unresolved,False,kaggle_arshkon
linkedin_li-4392593635,Senior Automation Process Engineer,"Be a part of our mission! As a world leader in creating comfortable, sustainable, and efficient climate solutions for buildings, homes and transportation, it's our responsibility to put the planet fir",0.6944625377655029,unresolved,False,scraped
linkedin_li-4389203479,Copy of Forensic Mechanical Engineer,"**Are you looking to join an organization that is growing and dynamic? What about a high-energy, collaborative environment that rewards hard work?**

 J.S. Held is a global consulting firm that combin",1.0,regex,False,scraped
asaniczka_d534b28a7fcf06ba,"Sr. Scientist, Antibody Engineering - Genetic Medicines","We are seeking a highly motivated Sr. Scientist with expertise in antibody and protein engineering, who will lead development of novel fit-for-purpose bi- and multi-specific antibodies for use in targ",0.0,unresolved,False,kaggle_asaniczka
linkedin_li-4389594485,"Staff Engineer, Digital Signal Processing","**Minimum qualifications:**
* Bachelor's degree in Electrical Engineering, Computer Engineering, or a related technical field.
* 10 years of industry experience in digital signal processing, communica",0.45044460892677307,unresolved,False,scraped
asaniczka_13975aee4cb4578a,Project Engineer III,"Crown is the world leader in oil seed extraction technology, refining plants, and equipment serving global customers from its locations in the Americas, Europe, and Asia. Our passion to deliver superi",0.5814323425292969,unresolved,False,kaggle_asaniczka
arshkon_3902351819,Automation/Controls Engineer,"Skills Looking For:Automation and Controls engineer position.Experience with Allen Bradley controls PLCs specifically studio 5,000 is a must-have.Good Knowledge of Ethernet connections, IT, IP, and ne",0.6391898393630981,unresolved,False,kaggle_arshkon
linkedin_li-4389285005,Design Engineer,Lucifer Lighting Company is a privately held San Antonio-based designer and manufacturer of precision-engineered architectural lighting fixtures. You’ll find our products everywhere from SF MOMA to th,0.562011182308197,unresolved,False,scraped
asaniczka_9499657df8ae63ec,Sr. Facilities Engineer,"Job Details
Level
Senior
Job Location
Dallas LBJ - Dallas, TX
Position Type
Full Time
Education Level
4 Year Degree
Description
JOB DESCRIPTION
The Facilities Engineer is charged with overseeing the d",0.5706108808517456,unresolved,False,kaggle_asaniczka
linkedin_li-4389890098,Mechanical Engineer,"RESPONSIBILITIES:
   

  

 Kforce has a client in North Reading, MA that is seeking a Mechanical Engineer who will design and implement world-class manufacturing solutions that transition cutting-edg",1.0,regex,False,scraped
asaniczka_366cef250394d946,Senior Bridge Engineer,"TYLin
is a globally recognized, full-service infrastructure consulting firm committed to providing innovative, cost-effective, constructible designs for the global infrastructure market. With over 3,0",0.4391089379787445,unresolved,False,kaggle_asaniczka
asaniczka_0a85bd355f6f2626,Lead Azure Active Directory Engineer (Hybrid),"Company Description
Jobs for Humanity is partnering with Capital One to build an inclusive and just employment ecosystem. Therefore, we prioritize individuals coming from the following communities: Re",0.4889879822731018,unresolved,False,kaggle_asaniczka
linkedin_li-4392352217,Operating Engineer-Plant,"**Job Summary**
 Under general supervision, the Operating Engineer performs a variety of routine or skilled preventive maintenance duties in the repair, alteration, and modification of buildings, equi",0.4834229052066803,unresolved,False,scraped
asaniczka_e680e3364c5319df,Industrial Project Engineer - 1476692,"Location:
San Francisco, CA ; Requires Travel - up to 25% of the time
Job Title:
Industrial Project Engineer
Salary:
$120k - $160k DOE + ESOP, 401k, Benefits, PTO, & more
Requirements:
3-5+ Years of P",0.46128469705581665,unresolved,False,kaggle_asaniczka
linkedin_li-4392207206,Electrical and Computer Engineering Tutor,"**About The Job**
 The Varsity Tutors Live Learning Platform has thousands of students looking for online Electrical and Computer Engineering tutors nationally. As a tutor on the Varsity Tutors Platfo",0.35076308250427246,unresolved,False,scraped
asaniczka_e0f0013a49af61e8,Lead Embedded Motor Controls Engineer,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Jobot, is seeking the following. Apply via Dice today!
Lead Embedded Motor Controls Engineer Openin",0.7055354714393616,embedding_adjacent,True,kaggle_asaniczka
asaniczka_2855c1e436a6a89b,Transportation Technical Lead Engineer,Mark Thomas is hiring a Technical Lead Engineer in Southern California! The role of a Technical Lead Engineer is to lead technical solutions for projects and to develop an internal reputation as a “go,0.4294138252735138,unresolved,False,kaggle_asaniczka
linkedin_li-4311738847,Senior/Staff Test Engineer (Energy Storage and Distribution Systems),"Imagine a piloted air taxi that takes off vertically, then quietly carries you and your fellow passengers over the congested city streets below, enabling you to spend more time with the people and pla",0.5414517521858215,unresolved,False,scraped
asaniczka_f3455f3b93bcc8b5,Electrical Engineer,"Electrical Engineer - South San Francisco Bay Area (on-site) – Biotechnology company
Signify technology are partnered with a Public company within the Biotechnology sector. The company are still only ",1.0,regex,False,kaggle_asaniczka
asaniczka_5191761dac92b83e,Quality Engineer,"Job Description
Job Title: Junior Quality Engineer
Visas: OPT, OPT EAD, STEM OPT
Are you a recent graduate with a passion for ensuring quality standards in the pharmaceutical and medical industry? You",0.7733015418052673,embedding_adjacent,True,kaggle_asaniczka
asaniczka_b64183f81440c3b1,Mgr Systems Engineering 2,"At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inv",0.742829442024231,embedding_adjacent,True,kaggle_asaniczka
asaniczka_4ef9c45c1f2ba478,Electronics Development Design Engineer - Sr/Specialist,"JOB SUMMARY:
Support the development of Electronic Modules utilized in the control and monitoring of various systems on-board the aircraft. Tasks include circuit design, PC board layout, software desi",0.5183433890342712,unresolved,False,kaggle_asaniczka
asaniczka_d5300e92e16e8bdb,Sentinel - Manager Electrical Engineering 2 - 11914,"At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inv",0.0,unresolved,False,kaggle_asaniczka
arshkon_3902302153,Continuous Integration Development Engineer,"This position is open for a strong self-motivated Continuous Integration Development Engineer with a passion for automating and codifying the infrastructure, and automation to provide continuous testi",0.670313835144043,unresolved,False,kaggle_arshkon
asaniczka_70d0d2d54eb3f437,"Senior Structural Engineer/Analyst, Natrium","Requisition ID: 273680
Requisition Posting End Date: 11/24/2023
Bechtel Overview
Since 1898, we have helped customers complete more than 25,000 projects in 160 countries on all seven continents that h",0.37712013721466064,unresolved,False,kaggle_asaniczka
linkedin_li-4379277170,Director of Engineering,"Dometic is a global market leader in the mobile living industry. Millions of people around the world use Dometic products in outdoor, residential, and professional applications.
   

  

 Our Marine o",0.0,unresolved,False,scraped
asaniczka_aa7d6b02706d1593,Civil Engineer,"Senior Engineer Responsibilities:
Provide leadership and technical expertise on civil engineering design projects for electrical substations and transmission line right-of-way projects
Manage, prepare",1.0,regex,False,kaggle_asaniczka
asaniczka_fe62451e062d7a4f,Sr. Electrical Engineer - P.E.,"Sr. Electrical Engineer - Licensed PE
Location: Irving, TX (or anywhere near Indianapolis, Atlanta, and/or St. Louis)
GREAT opportunity for a senior engineer to lead a department and mentor other engi",0.5121913552284241,unresolved,False,kaggle_asaniczka
asaniczka_7d3f15c01c2af006,Sentinel (GBSD) Manager Software Engineering 2 - 11842 with Security Clearance,"At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inv",0.441386878490448,unresolved,False,kaggle_asaniczka
linkedin_li-4389459387,Software Engineering MTS,"*To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.*
 Job Category
   

  

 Software Engineering
   

",0.7357592582702637,embedding_adjacent,True,scraped
linkedin_li-4392075876,Sr. Network Engineer,Are you ready to lead and optimize a robust global network environment? Join our team as a Senior Network Engineer and take ownership of both daily operations and future development of our Global Netw,0.82,regex,True,scraped
asaniczka_2a1ab9cf298418a0,WELDING ENGINEER,"Brief Description
Castolin Eutectic
is a global wear management solution provider that helps redefine the life cycle with wear management service centers worldwide. For over 100 years, Castolin Eutect",0.32904863357543945,unresolved,False,kaggle_asaniczka
asaniczka_735d619cfe768bec,Civil Design Engineer,"Looking to Hire a Civil Engineer who has a a Engineering degree from an accredited University with experience in Storm Water Management and Civil 3D.
This position is on-site any Certification or work",0.41996484994888306,unresolved,False,kaggle_asaniczka
linkedin_li-4390111877,Senior Sales Engineer - Data & AI Security,"Veeam is the Data and AI Trust Company, specializing in helping organizations ensure their data and AI are fully understood, secured, and resilient to enable the acceleration of safe AI at scale. As t",0.4387745261192322,unresolved,False,scraped
asaniczka_d2ca99c06c0be592,Manager of Software Engineering - Data Tech,JOB DESCRIPTION This is your chance to change the path of your career and guide multiple teams to success at one of the world's leading financial institutions. As a Manager of Software Engineering - D,0.5744189023971558,unresolved,False,kaggle_asaniczka
arshkon_3905843295,Wastewater Project Engineer,"REMOTE IN U.S. (Must currently reside in the United States)
Our client is seeking a Project Engineer with a strong focus on water and wastewater projects to join their team. The ideal candidate will h",0.29806268215179443,unresolved,False,kaggle_arshkon
asaniczka_e62aacce0d544009,Sr. Electrical Controls Engineer - Robotics,"Job Details:
Electrical Control Systems Engineer
Leading Automation Systems Integrator seeks experienced Controls Engineer with PLC programming and Robotics proficiency:
BSEE
PLC, HMI, SCADA, VFD prog",0.5307821035385132,unresolved,False,kaggle_asaniczka
asaniczka_3868d03ad5b1d9bd,Mobile Automation Test Engineer - Onsite,"Net
2
Source Inc. is an award-winning total workforce solutions company recognized by Staffing Industry Analysts for our accelerated growth of 300% in the last 3 years with over 5500+ employees global",0.7145929336547852,embedding_adjacent,True,kaggle_asaniczka
linkedin_li-4387758338,Sr Active directory engineer,"**Company Description** 

 Veridic is a trusted provider of highly sought-after talent for technology-driven initiatives. The company specializes in areas such as Cloud, Application Development, Artif",0.5489282608032227,unresolved,False,scraped
asaniczka_995be7e0c3dab0e8,Sr Chemical Engineer - Technology Services Specialist,"Join a team recognized for leadership, innovation and diversity
The Future Is What You Make It.
When you join Honeywell, you become a member of our global team of thinkers, innovators, dreamers and do",0.37814241647720337,unresolved,False,kaggle_asaniczka
