topic_id,name,n,n_2024,n_2026,growth_ratio,ai_rate,median_yoe,junior_share,mid_share,senior_share,top_words,top_firms,top_metros
-1,noise/outlier,13361,6664,6697,1.0049512378094523,0.1336726292942145,5.0,0.03532669710351022,0.00381707955991318,0.5337923808098196,"stack developer, nextjs, rf, aircraft, website, flight, optical, ecommerce, verification validation, secret security","Northrop Grumman, Wells Fargo, Lockheed Martin, Infosys, DataAnnotation","San Francisco Bay Area, Washington DC Metro, Dallas-Fort Worth Metro"
0,data_engineer/databricks/data_platform,3520,1528,1992,1.3034663178548072,0.11960227272727272,5.0,0.02869318181818182,0.005113636363636364,0.5227272727272727,"data engineer, databricks, data platform, data solutions, data warehouse, data governance, warehousing, azure data, airflow, scalable data","Snowflake, Databricks, MassMutual, Amazon, Harnham","San Francisco Bay Area, Washington DC Metro, Dallas-Fort Worth Metro"
1,rag/ai_solutions/ai_systems,2885,436,2449,5.606407322654462,0.7937608318890814,5.0,0.05199306759098787,0.004159445407279029,0.4714038128249567,"rag, ai solutions, ai systems, ai agents, agentic ai, ai engineer, mlops, prompt engineering, pytorch, genai","TikTok, Microsoft AI, Harnham, ByteDance, TikTok USDS Joint Venture","San Francisco Bay Area, Seattle Metro, Salt Lake City Metro"
2,devops_engineer/cloudformation/code_iac,1703,663,1040,1.5677710843373494,0.07985907222548444,5.0,0.024662360540223135,0.004697592483852026,0.47563123899001764,"devops engineer, cloudformation, code iac, eks, vpc, cloud engineer, terraform ansible, helm, python bash, cloudwatch","Mission Technologies, a division of HII, Zachary Piper Solutions, Amazon Web Services (AWS), Onyx Point, LLC., Red Hat","Washington DC Metro, San Francisco Bay Area, Salt Lake City Metro"
3,net_core/net_developer/entity_framework,1168,871,297,0.34174311926605505,0.04195205479452055,5.0,0.019691780821917807,0.0025684931506849314,0.5376712328767124,"net core, net developer, entity framework, entity, net framework, using net, experience net, web api, aspnet mvc, stored procedures","Strategic Employment Partners (SEP), Adame Services LLC, Motion Recruitment, Jobot, Extend Information Systems Inc.","Washington DC Metro, Dallas-Fort Worth Metro, Chicago Metro"
4,selenium/test_scripts/api_testing,1044,523,521,0.9961832061068703,0.07471264367816093,5.0,0.035440613026819924,0.0028735632183908046,0.44061302681992337,"selenium, test scripts, api testing, playwright, plans test, qa automation, qa engineer, manual automated, sdet, manual testing","Syms Strategic Group, LLC (SSG), Enexus Global Inc., Wise Skulls, MillenniumSoft Inc, The Depository Trust & Clearing Corporation (DTCC)","San Francisco Bay Area, Washington DC Metro, Dallas-Fort Worth Metro"
5,vmware/directory/active_directory,691,538,153,0.2857142857142857,0.00723589001447178,5.0,0.010130246020260492,0.0,0.4833574529667149,"vmware, directory, active directory, cisco, windows server, backup, firewalls, data center, disaster, infrastructure engineer","Bowman Williams, TEKsystems, Ledgent Technology, Keylent Inc, Franklin Fitch","Washington DC Metro, San Francisco Bay Area, Boston Metro"
6,java_developer/hibernate/spring_framework,689,434,255,0.5885057471264368,0.04499274310595065,6.0,0.033381712626995644,0.002902757619738752,0.46589259796806964,"java developer, hibernate, spring framework, core java, boot spring, java development, experience spring, springboot, jpa, java backend","iTech Solutions, Open Systems Technologies, Lorvenk Technologies LLC, Saransh Inc, Extend Information Systems Inc.","Dallas-Fort Worth Metro, Washington DC Metro, Charlotte Metro"
7,rtos/experience_embedded/embedded_linux,647,382,265,0.6945169712793734,0.02627511591962906,5.0,0.01854714064914992,0.0015455950540958269,0.5409582689335394,"rtos, experience embedded, embedded linux, fpga, spi, kernel, firmware engineer, embedded firmware, firmware development, bringup","Rivian, SGS Consulting, Actalent, Curtiss-Wright Corporation, Intellectt Inc","San Francisco Bay Area, Los Angeles Metro, Boston Metro"
8,drawings/product_engineer/application_engineer,497,327,170,0.5213414634146342,0.002012072434607646,4.0,0.052313883299798795,0.002012072434607646,0.26156941649899396,"drawings, product engineer, application engineer, cad, water, thermal, solidworks, sales team, degree mechanical, treatment","TE Connectivity, Henkel, Chart Industries, Inc., Daikin Applied Americas, Artius Solutions","Detroit Metro, Charlotte Metro, Houston Metro"
9,sre/site_reliability/reliability_engineer,472,172,300,1.739884393063584,0.1292372881355932,5.0,0.01694915254237288,0.006355932203389831,0.5889830508474576,"sre, site reliability, reliability engineer, reliability engineering, slos, toil, incident management, error budgets, service level, sre team","SHEIN Technology LLC, TikTok USDS Joint Venture, Akamai Technologies, ServiceNow, Equifax","San Francisco Bay Area, Atlanta Metro, Dallas-Fort Worth Metro"
10,secret_security/navy/weapon,437,264,173,0.6566037735849056,0.013729977116704805,6.0,0.043478260869565216,0.004576659038901602,0.5308924485125858,"secret security, navy, weapon, department defense, government issued, issued, issued security, naval, sustainment, warfare","General Dynamics Mission Systems, Raytheon, Collins Aerospace, BAE Systems, Inc., Solutions³ LLC","Washington DC Metro, Boston Metro, Denver Metro"
11,et/la/lead_developer,418,264,154,0.5849056603773585,0.0861244019138756,7.0,0.0,0.0023923444976076554,0.937799043062201,"et, la, lead developer, capabilities skills, qualifications capabilities, operational stability, en, companywide, senior lead, enhance build","JPMorgan Chase & Co., Prudential Financial, UST, Citigroup, ClickJobs.io","Dallas-Fort Worth Metro, Chicago Metro, Salt Lake City Metro"
12,test_equipment/test_engineer/labview,367,218,149,0.684931506849315,0.013623978201634877,5.0,0.021798365122615803,0.0,0.3978201634877384,"test equipment, test engineer, labview, test engineering, fixtures, test systems, semiconductor, production test, rf, technicians","MACOM, Teradyne, Actalent, Flex, US Tech Solutions","San Francisco Bay Area, Los Angeles Metro, Boston Metro"
13,related_area/principal_engineer/raising,365,154,211,1.367741935483871,0.15342465753424658,6.0,0.030136986301369864,0.0027397260273972603,0.7917808219178082,"related area, principal engineer, raising, direction projects, technical bar, business priorities, coach mentor, empathy, longterm maintainability, bar engineering","Walmart, Peregrine, TENEX.AI, Rippling, Sam's Club","San Francisco Bay Area, Washington DC Metro, Los Angeles Metro"
14,flight/flight_software/avionics,363,152,211,1.3856209150326797,0.03856749311294766,5.0,0.024793388429752067,0.0027548209366391185,0.5647382920110193,"flight, flight software, avionics, spacecraft, satellite, aircraft, itar, authorizations, eligible obtain, required authorizations","SpaceX, BLUE ORIGIN, Honeywell, EVONA, Sierra Space","Los Angeles Metro, Denver Metro, Phoenix Metro"
15,flask/django_flask/python_django,346,181,165,0.9120879120879121,0.23410404624277456,5.0,0.02601156069364162,0.002890173410404624,0.48265895953757226,"flask, django flask, python django, fastapi, pandas, python development, frameworks django, numpy, engineer python, python frameworks","Synechron, Reperio Human Capital, Mercor, Lila Sciences, PTR Global","San Francisco Bay Area, Washington DC Metro, New York City Metro"
