term,context,uid,title,company
cross-functional,"Engineer to drive operational efficiency and support resilient, scalable data and application platforms.
* The ideal candidate will collaborate with cross-functional teams to build sustainable solutions aligned with business goals while ensuring system stability and compliance.
* This role focuses on automation, p",linkedin_li-4387547120,Data Engineer,Cynet Systems
leading,"gion of the US and across Europe, and was ranked as one of the TIME100 most influential companies of 2024\. By bringing together CoreWeave’s industry-leading cloud infrastructure with the best-in-class tools ML practitioners know and love from Weights \& Biases, we’re setting a new standard for how AI is b",linkedin_li-4363233067,Software Engineer - UI - Weights & Biases,Weights & Biases
strategic,"ution implementation, from developing prototypes to deploying, monitoring, and optimizing them in secure, large-scale production environments.
* Be a Strategic Technical Advisor: Partner directly with customer data science and engineering teams, serving as a technical expert and trusted advisor on how to bes",linkedin_li-4364954598,Applied AI Engineer,Snowflake
leading,"prietary and trade secret information and access to information technology systems; and
* Exercising sound judgment.

**About TikTok**
 TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angel",linkedin_li-4262547589,Machine Learning Engineer - CV/NLP/Multimodal LLM (TikTok Trust and Safety) - 2026 Start(PHD),TikTok
cross-functional,"ms - from key load through sanitization.
* Develop thorough testing and qualification procedures for security critical components.
* Collaborate with cross-functional teams to identify specific security needs and implement solutions.
* Conduct code reviews and ensure adherence to security best practices.
* Stay upd",linkedin_li-4389261374,Security Software Engineer - Crypto Services,Anduril Industries
leading,"use modern development methodologies and employ user-centered design, analytics, and machine learning tools to drive innovation in healthcare. Using leading-edge technologies and languages like JS, TS, and C#, you’ll invent better ways to reduce medical errors, streamline record sharing between hospitals,",linkedin_li-3986111814,Software Engineer,Epic
cross-functional,"pam and other kinds of fraud and abuse
* Build controls and guardrails for AI features to make Notion the trusted AI workspace
* Partner closely with cross-functional teams to improve the safety, privacy, and security of the Notion ecosystem

**What We’re Looking For**
* You have 2 - 4 years of engineering experien",linkedin_li-4388240726,"Software Engineer, Trust",Notion
leadership,"reater Kansas City area or at Garmin's Greater St. Louis metro area or Great Phoenix metro area. In this role, you'll be responsible for serving in a leadership capacity to integrate Garmin's products into the cockpits of industry−leading aircraft. You'll write software in C and Python, configure the flight d",linkedin_li-4391180257,Software Engineer - OEM Airframe Lead,Garmin
project management,"s to troubleshoot problems as required.
* Design products for safety certification and manage safety reviews and documentation.
* Qualify and provide project management for OEM and component vendors.
* Perform installation or applications support of products at customer sites as needed.

**Additional Responsibilities",linkedin_li-4359587305,Software Engineer,Bruker Daltonics
leading,"use modern development methodologies and employ user-centered design, analytics, and machine learning tools to drive innovation in healthcare. Using leading-edge technologies and languages like JS, TS, and C#, you’ll invent better ways to reduce medical errors, streamline record sharing between hospitals,",linkedin_li-3986114503,Software Engineer,Epic
