uid,company,title,first_match_word,match_excerpt
linkedin_li-4400655494,UT MD Anderson,Senior Data Engineer - Healthcare AI,vector store,"pliance requirements, combined with advanced technical proficiency in cloud platforms, orchestration tools, and feature/vector store management. This individual thrives in collaborative environments, demonstrates leadership in mentoring others, and is"
linkedin_li-4396021907,Children's Hospital Colorado,Azure Software Engineer Professional,Github Copilot,ure is also preferred + Preference will be given to those applicants who have experience with AI Code generation tools: Github Copilot and Claude Code. + Building AI solutions with systems that leverage Retrieval Augmented Generation is a plus. * EQUIVA
linkedin_li-4388729488,Optum,Software Engineer,AI tooling,"to documentation including process design documents, runbooks, and knowledge base articles * Stay current with emerging AI tooling, LLM integrations, and automation platform capabilities (UiPath, Azure AI, etc.) * Identify opportunities to enhance ex"
linkedin_li-4389775028,Optum,Lead Software Quality Engineer - Remote,AI-assisted,"able, performance degradation) and ensure signals are actionable for operations and releases * Apply or experiment with AI-assisted testing (e.g., test generation/maintenance, intelligent test selection, anomaly detection) to improve automation effect"
linkedin_li-4394346287,Counsel Health,Senior Mobile Engineer (Founding),AI-powered,n iOS and Android. What you’ll do * Develop patient-facing features on our mobile app to enhance our AI-powered care delivery experience * Build and lead a high-performing mobile engineering team to shape the future of our mobile a
linkedin_li-4383513339,Verily,"Senior Software Engineer, ML Infra",RAG,"we are building AI tools for our care products to improve the patient experience, with a focus on agent infrastructure, RAG (Retrieval-Augmented Generation) systems, and specialized components like embedding stores and LLM orchestration tools"
linkedin_li-4388681789,Enigma,"Machine Learning Engineer | Python | Pytorch | Distributed Training | Optimisation | GPU | Hybrid, San Jose, CA",ML Ops,"n. * Define and track performance and cost KPIs; run continuous improvement loops and capacity planning. * Partner with ML Ops on CI/CD, telemetry/observability, model registries; partner with Scientists on reproducible handoffs and evaluations."
linkedin_li-4397367869,CVS Health,Staff Software Development Engineer,LLM,"You'll architect and deliver core platform services including workflow orchestration engines, multi-provider LLM integration, automated deployment pipelines, and production observability infrastructure. Your work will directly reduc"
linkedin_li-4393570626,Michigan Medicine,Data Engineer Senior,agentic,"n control and CI/CD workflows (GitLab CI or equivalent). * Demonstrated proficiency with AI and experience working with agentic coding tools (e.g., Cursor, OpenAI Codex, Claude Code, Anti-Gravity) to accelerate development workflows. * Excellent a"
linkedin_li-4402765672,Eventus WholeHealth,Systems Integration Engineer,AI-assisted,"with structured data and writing queries (e.g., SQL) Experience with version control systems (e.g., Git) and AI-assisted development tools (e.g., Claude Code or similar)"
linkedin_li-4383909900,Swoop,"Staff AI/ML Engineer, MyHealthTeam",LLM,". We’re looking for a Staff AI/ML Engineer who is product-minded, hands-on, and excited to ship production ML/LLM systems that turn messy, real-world text and behavioral data into reliable experiences for patients. **What Yo"
linkedin_li-4390679762,CVS Health,Principal Software Engineer (Health100 Platform),generative AI,"gineering practices for security, resiliency, availability, and scalability in production systems. * Experience with AI/generative AI solutions and technologies. **Preferred Qualifications** * Experience in the health, wellness, or pharmacy domain. * C"
linkedin_li-4392088915,Optum,Senior Site Reliability Engineer,AI-assisted,"y establishing patterns for engineering excellence initiatives (zero-downtime deployments, automated remediation) * Use AI-assisted tooling to improve engineering productivity (e.g., incident analysis, automation, and documentation) * Provide 24×7 pro"
linkedin_li-4395172294,MindCare Solutions,Senior Healthcare Microsoft Dynamics 365 | Microsoft Cloud for Healthcare Platform Engineer,Agentic,"ble, event-driven architectures * Enable API-first access to healthcare data and workflows ****Intelligent Automation, Agentic AI \& Platform Extensions**** * Design and implement agentic AI-enabled workflows for care coordination and patient eng"
linkedin_li-4372232413,DeepRec.ai,Senior Machine Learning Engineer,GenAI,"Senior Machine Learning Engineer (GenAI and Agentic Systems) **Location:** Palo Alto, CA (Hybrid ) **Role Type:** Full-Time / Permanent Summary"
linkedin_li-4395256991,Athelas,Business Systems Engineer,AI-powered,"achieved over 300% year-over-year growth for the past two years and this is only the beginning. Healthcare's moment for AI-powered transformation is here, and we're building the technology to power it. Come join us in shaping the future of healthcare"
linkedin_li-4400648385,SmithRx,"Software Engineer, AI, Platform",LLM,"nal MLE role; we are looking for a product-focused, versatile engineer who can help bridge the gap between cutting-edge LLM capabilities and reliable, production-grade software. You will help build and scale systems that leverage the power of"
