uid,period,period_group,source,subterm,matched_text,context,label,pattern_class,label_v2,label_final
asaniczka_ea28b7211f60c422,2024-01,2024,kaggle_asaniczka,ai_bare,ai,the ai team is for an python to help implement our of the predictor application. the is in designing large,ambiguous,broad,true_positive,true_positive
asaniczka_d7f4ae1e94d2df38,2024-01,2024,kaggle_asaniczka,ai_bare,ai,"hing and fixing in and high cii’s are code review | to improve code quality help junior exploratory ai and/or test lead | help build high-performing teams, and mentor the skills the team and create for ",ambiguous,broad,ambiguous,false_positive
asaniczka_d5efc5815e4cd895,2024-01,2024,kaggle_asaniczka,ai_bare,ai,"system & lead the and of ai and dat-driven for the fault & classification system, specifically for and of process/equipment ano",ambiguous,broad,ambiguous,true_positive
asaniczka_362e35a4b525b9f9,2024-01,2024,kaggle_asaniczka,ai_bare,ai,"eliver ml at scale. efficient data to ml models. high and of applications. best for and explainable ai. use like python, scala, or java. qualifications: bachelor's degree. at 4 years of experience in py",true_positive,broad,ambiguous,true_positive
asaniczka_f1b306f0bc2e66b9,2024-01,2024,kaggle_asaniczka,ai_bare,ai,"f software stacks. gliacell’s capabilities include full-stack application data, cloud technologies, ai, and devops containerization. we also customer in the of cne, and by providing our customers with a",ambiguous,broad,ambiguous,true_positive
asaniczka_bcc71a2d4a068641,2024-01,2024,kaggle_asaniczka,ai_bare,ai,"er? work with us, and we will build exceptional. should have experience in several of the following ai, multiplayer, user quests/mission systems, or other systems. the should also have skills and a long",ambiguous,broad,ambiguous,true_positive
asaniczka_495912c4b3507773,2024-01,2024,kaggle_asaniczka,ai_bare,ai,"w a company functions. on this team will work with our data cloud and teams, and our teams to build ai-driven products that help teams operate efficiently. what you'll do: | lead mission-critical projec",ambiguous,broad,true_positive,true_positive
asaniczka_d7224ab3633c1213,2024-01,2024,kaggle_asaniczka,ai_bare,ai,"are tasked with end-to-end to business leveraging ai and/or ml as needed. they will requests from stakeholders, the components for the project, necessar",ambiguous,broad,ambiguous,true_positive
asaniczka_5b0099664d20e58d,2024-01,2024,kaggle_asaniczka,ai_bare,ai,"the fullstack engineer will be an part of a agile team, on ai and ml-driven web applications. this role requires a of front-end and back-end skills, with a stron",ambiguous,broad,true_positive,true_positive
asaniczka_f894b02fc0d939fe,2024-01,2024,kaggle_asaniczka,ai_bare,ai,"ications: | with cloud e.g., aws, and in data in cloud environments. experience with algorithms and ai, including the use of frameworks to and data engineering projects. skills in and real-time data str",true_positive,broad,true_positive,true_positive
arshkon_3903812791,2024-04,2024,kaggle_arshkon,ai_bare,ai,"nbio. this position will involve interacting with a of code, tools, and stakeholders. as we into an ai we are ensuring our fundamentals are excellent, and this role will help that effort. you will build",ambiguous,broad,ambiguous,true_positive
asaniczka_2cd39961be68daad,2024-01,2024,kaggle_asaniczka,ai_bare,ai,"and utilizing cloud services (aws, azure, gcp, etc.) to deliver it services. experience integrating ai technologies and with existing and premise-based technology solutions. experience with technologies",ambiguous,broad,ambiguous,true_positive
asaniczka_0aca2a48ed5b4655,2024-01,2024,kaggle_asaniczka,ai_bare,ai,"oducts. each our products are accessed by millions the nation. we are an and principal engineer i - ai developer to our team. as an ai developer you will a role in designing, and implementing cutting-ed",ambiguous,broad,ambiguous,true_positive
asaniczka_253e9b8a5f26e292,2024-01,2024,kaggle_asaniczka,ai_bare,ai,"nt. this is on providing to identify capabilities, tools, technologies, and agile methods and to to ai r&d for test and (t&e) and of ai performs of applications and application in devops utilizing quali",ambiguous,broad,ambiguous,true_positive
asaniczka_02e015d6131bcf82,2024-01,2024,kaggle_asaniczka,ai_bare,ai,"p-tier software worldwide. you will data architectures and work on projects leveraging cutting-edge ai. responsibilities | brainstorm with product and to conceptualize and build features. help design, d",ambiguous,broad,ambiguous,true_positive
arshkon_3904952207,2024-04,2024,kaggle_arshkon,ai_bare,ai,ai / java + spring & systems we are on the for a and principal software engineer to our fast-paced fir,ambiguous,broad,ambiguous,true_positive
