label,uid,metro_area,company,company_industry,title,first_match,excerpt
BAY,linkedin_li-4390986936,San Francisco Bay Area,Doorvest,Financial Services,Senior Software Engineer,AI-assisted,"rnal operations tooling that powers our property management team, from pipeline boards and case management workflows to AI-assisted communication tools. If you're passionate about leveraging technology to democratize real estate investment — and excited to shape how"
BAY,linkedin_li-4386496434,San Francisco Bay Area,Levelpath,Software Development,DevOps Engineer / AWS|ECS|Terraform (San Francisco),Claude,"improving system performance at scale. * Proficiency or strong eagerness to utilize AI-driven development tools (e.g., Claude Code, Cursor, or similar agents) to boost your own productivity and optimize infrastructure engineering workflows. * Familiarity with GitHu"
BAY,linkedin_li-4398285507,San Francisco Bay Area,HydroX AI,Security Systems Services,"Software Engineer, AI",generative AI,"** 1. Strong programming skills in **Python** (and ideally one of Go / Rust / C\+\+) 2. Experience with **LLMs or generative AI systems** (OpenAI, open-source models, etc.) 3. Solid understanding of **software engineering fundamentals** (systems design, APIs, sc"
BAY,linkedin_li-4279793862,San Francisco Bay Area,TikTok,Entertainment Providers,[Online Assessment] Engineer Graduate: (Software Engineer Graduate - Data-Search-TikTok.US) - 2026 Start (BS/MS),LLM,"act and improve the search experience for hundreds of millions of users globally. We are also exploring how to leverage LLM to further enhance TikTok users search experience, potentially sharping the search engine for the next generation. We embrace a culture of"
BAY,linkedin_li-4403039141,San Francisco Bay Area,Wells Fargo,"Financial Services, Investment Management, and Banking",DevOps Lead Software Engineer,Generative AI,"ft), cloud platforms (GCP, Azure), AI/ML operations, and cloud-native toolchains. Additional strengths include hands-on Generative AI/LLM capabilities, vector databases, observability stacks, and leading technically complex discussions. Strong analytical, problem-solving,"
BAY,linkedin_li-4383527449,San Francisco Bay Area,TrueFoundry,Software Development,Principal Software Engineer,agentic,"neering to join the team. **The Problem We're Solving** Companies are moving beyond simple chatbots to production agentic systems. These systems route between OpenAI, Anthropic, Google, and self-hosted models. They integrate dozens of tools via protocols like M"
BAY,linkedin_li-4376231175,San Francisco Bay Area,KLA,Semiconductor Manufacturing,Software Engineer - Test Automation,LLM,"ework. * Automate the process of extracting test result data from different sources. * Use intelligent algorithms, e.g. LLM, and business logic to find the root cause of software failures. * Integrate and transform the scattered data and flat log files into homog"
BAY,linkedin_li-4388244362,San Francisco Bay Area,Rakuten Rewards,"Technology, Information and Internet",QA Automation Engineer,AI-assisted,"nt squads. This is an exciting opportunity for someone who thrives in fast-evolving environments, embraces AI-first and AI-assisted workflows, and excels in containerized infrastructure, contributing significantly to customer satisfaction and software excellence."
BAY,linkedin_li-4393060481,San Francisco Bay Area,Adobe,"Advertising Services, IT Services and IT Consulting, and Software Development",Senior Software Engineer,agentic,"nd components of AJO, with a focus on reliability, scalability, and performance. * Innovation \& Impact: Help drive the agentic evolution of our platform and create differentiated value through the effective application of AI in solving customer needs. * Engineering"
BAY,linkedin_li-4372675640,San Francisco Bay Area,Ridgeline,Software Development,"Senior Staff Software Engineer, Analytics & Accounting",Claude,"e engineering best practices. Our team of engineers are building with cutting-edge technologies—including AI tools like Claude Code—in a fast-moving, creative, progressive work environment. You’ll be encouraged to think outside the box, bringing your own v"
REST,linkedin_li-4402709974,Dallas-Fort Worth Metro,Envision Technology Solutions,"IT Services and IT Consulting, Banking, and Investment Management",Data Engineer,prompt engineering,"s (Connect Direct, SSH Tectia) * Experience with Enterprise scheduling tools (Autosys, etc) * Al fundamentals including prompt engineering, model interaction and interfacing with Citi tools (CoPilot, Devin). * Knowledge of Tableau or other reporting tools."
REST,linkedin_li-4379507085,Columbus Metro,JPMorgan Chase & Co.,Financial Services,Mobile Sr Lead Software Engineer,agentic,"bility to influence stakeholders in a matrixed environment **Preferred Qualifications, Capabilities, And Skills** * AI agentic experience **ABOUT US** Chase is a leading financial services firm, helping nearly half of America’s households and small businesses achi"
REST,linkedin_li-4402986336,Minneapolis-Saint Paul,Optum,Hospitals and Health Care,Senior Software Engineer (Production Support),GenAI,"ueries * 2\+ years of experience with Kubernetes, cloud deployments, and CI/CD pipelines * 2\+ years of experience with GenAI tools (e.g., CoPilot, Splunk MLTK) \& understanding of AI/ML concepts and experience applying them to operational use cases (e.g., anomaly"
REST,linkedin_li-4398059600,Dallas-Fort Worth Metro,Motion Recruitment,Software Development,Senior Full Stack Java Developer,Copilot,"act JS * Experience in financial or banking sector, automated testing experience * Experience with AI Dev tools such as Copilot **What You Will Be Doing** * Hands-on development position responsible for establishing and implementing new or revised application system"
REST,linkedin_li-4391691955,Washington DC Metro,Accenture,Software Development,AI Native Software Engineer,agentic,"ve Engineer with a strong foundation in building cloud-native solutions and hands-on experience designing and deploying agentic systems, especially for enterprise environments. You’re a critical thinker who thrives in ambiguity, delivering concrete results by designi"
REST,linkedin_li-4369624004,Portland Metro,Trimble Inc.,Software Development,Software Development Engineer in Test,AI-powered,"collaboration team as we grow and bring new features to our world-class products! You will be building a culture where AI-powered tools are fundamental to our workflow, enabling us to innovate faster, write cleaner code, and deliver unparalleled value to our customers."
REST,linkedin_li-4387998203,Minneapolis-Saint Paul,Travelers,Insurance,Software Engineer II - Enterprise AI Products,AI-powered,"will partner with LOB stakeholders, product owners, architects, and platform teams to translate business problems into AI-powered capabilities that deliver measurable outcomes across the enterprise. This role is hands-on and delivery-oriented — ideal for an engineer wh"
