technology,label,category,denominator_kaggle_arshkon,denominator_kaggle_asaniczka,denominator_scraped,mention_rate_kaggle_arshkon,mention_rate_kaggle_asaniczka,mention_rate_scraped,mentions_kaggle_arshkon,mentions_kaggle_asaniczka,mentions_scraped,arshkon_to_scraped_ratio,flag_ratio_gt_3_or_lt_0_33,investigation_note
agents,Agents,ai_tool,4691,18129,40881,0.00021317416329140907,0.0002758012024932429,0.02468139233384702,1.0,5.0,1009.0,0.008637039612999102,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
anthropic_api,Anthropic API,ai_tool,4691,18129,40881,0.0,0.0,0.0002446124116337663,0.0,0.0,10.0,0.0,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
argo_cd,Argo CD,devops,4691,18129,40881,0.002131741632914091,0.0029234927464283746,0.010200337565128054,10.0,53.0,417.0,0.20898736137928287,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
buildkite,Buildkite,devops,4691,18129,40881,0.00042634832658281814,0.00022064096199459428,0.001443213228639221,2.0,4.0,59.0,0.2954160328649524,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
c_language,C,language,4691,18129,40881,0.004903005755702409,0.0,0.00012230620581688315,23.0,0.0,5.0,40.08795565977403,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
chatgpt,ChatGPT,ai_tool,4691,18129,40881,0.00021317416329140907,0.00011032048099729714,0.000660453511411169,1.0,2.0,27.0,0.3227693692413368,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
chroma,Chroma,ai_ml,4691,18129,40881,0.0,0.0,0.0007582984760646756,0.0,0.0,31.0,0.0,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
claude,Claude,ai_tool,4691,18129,40881,0.00021317416329140907,0.00011032048099729714,0.03480834617548494,1.0,2.0,1423.0,0.006124225558338787,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
claude_api,Claude API,ai_tool,4691,18129,40881,0.0,0.0,0.0010029108876984417,0.0,0.0,41.0,0.0,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
codex,Codex,ai_tool,4691,18129,40881,0.0,5.516024049864857e-05,0.005552701744086495,0.0,1.0,227.0,0.0,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
copilot,Copilot,ai_tool,4691,18129,40881,0.0,5.516024049864857e-05,0.001247523299332208,0.0,1.0,51.0,0.0,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
cursor,Cursor,ai_tool,4691,18129,40881,0.0,5.516024049864857e-05,0.019789144101171694,0.0,1.0,809.0,0.0,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
dart,Dart,language,4691,18129,40881,0.00042634832658281814,0.0013238457719675658,0.0014921357109659744,2.0,24.0,61.0,0.28573026129560963,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
elixir,Elixir,language,4691,18129,40881,0.00042634832658281814,0.0011583650504716201,0.001443213228639221,2.0,21.0,59.0,0.2954160328649524,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
evals,Evals,ai_tool,4691,18129,40881,0.00021317416329140907,5.516024049864857e-05,0.009368655365573249,1.0,1.0,383.0,0.02275397642171304,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
fastapi,FastAPI,framework,4691,18129,40881,0.004050309102536773,0.0016548072149594572,0.022479880629143124,19.0,30.0,919.0,0.18017484920653515,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
gemini,Gemini,ai_tool,4691,18129,40881,0.00021317416329140907,0.0,0.010787407353049094,1.0,0.0,441.0,0.019761389953551232,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
generative_ai,Generative AI,ai_tool,4691,18129,40881,0.013216798124067362,0.007391472226818909,0.07538954526552677,62.0,134.0,3082.0,0.17531340821219918,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
hugging_face,Hugging Face,ai_ml,4691,18129,40881,0.0006395224898742272,0.0008825638479783771,0.012206159340524938,3.0,16.0,499.0,0.052393424666429426,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
langchain,LangChain,ai_ml,4691,18129,40881,0.0,0.0,0.0018345930872532472,0.0,0.0,75.0,0.0,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
llamaindex,LlamaIndex,ai_ml,4691,18129,40881,0.00021317416329140907,5.516024049864857e-05,0.008218977030894548,1.0,1.0,336.0,0.025936824314035992,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
llm,LLM,ai_tool,4691,18129,40881,0.015561713920272863,0.008439516796293232,0.129571194442406,73.0,153.0,5297.0,0.12010164749380309,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
machine_learning,Machine learning,ai_ml,4691,18129,40881,0.0017053933063312726,0.0008825638479783771,0.008757124336488833,8.0,16.0,358.0,0.1947435300450524,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
mcp,MCP,ai_tool,4691,18129,40881,0.0006395224898742272,0.0009928843289756743,0.02113451236515741,3.0,18.0,864.0,0.030259628366375326,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
mlops,MLOps,ai_ml,4691,18129,40881,0.00916648902153059,0.004798940923382426,0.03106577627748832,43.0,87.0,1270.0,0.29506711629070237,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
nextjs,Next.js,framework,4691,18129,40881,0.024088680451929228,0.024491146781399967,0.08923460776399794,113.0,444.0,3648.0,0.2699477372684536,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
observability,Observability,practice,4691,18129,40881,0.02600724792155191,0.016768713111589166,0.138793082360999,122.0,304.0,5674.0,0.18738144206573204,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
openai_api,OpenAI API,ai_tool,4691,18129,40881,0.00042634832658281814,0.0,0.003913798586140261,2.0,0.0,160.0,0.10893466211895117,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
pinecone,Pinecone,ai_ml,4691,18129,40881,0.0,0.0,0.00022015117047038968,0.0,0.0,9.0,0.0,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
power_bi,Power BI,data,4691,18129,40881,0.00021317416329140907,0.0,2.446124116337663e-05,1.0,0.0,1.0,8.714772969516094,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
prometheus,Prometheus,ops,4691,18129,40881,0.00021317416329140907,0.0006067626454851344,0.0036691861745064944,1.0,11.0,150.0,0.05809848646344063,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
prompt_engineering,Prompt engineering,ai_tool,4691,18129,40881,0.00021317416329140907,5.516024049864857e-05,0.0009050659230449353,1.0,1.0,37.0,0.23553440458151606,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
r_language,R,language,4691,18129,40881,0.0010658708164570454,0.00044128192398918857,0.00014676744698025978,5.0,8.0,6.0,7.262310807930079,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
rag,RAG,ai_ml,4691,18129,40881,0.003197612449371136,0.0002758012024932429,0.0518089087840317,15.0,5.0,2118.0,0.06171935530818764,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
rust,Rust,language,4691,18129,40881,0.011298230654444682,0.013845220365160792,0.0371566253271691,53.0,251.0,1519.0,0.304070419607869,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
scipy,SciPy,ai_ml,4691,18129,40881,0.0006395224898742272,0.00154448673396216,0.0022748954281940265,3.0,28.0,93.0,0.28112170869406755,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
snowflake,Snowflake,data,4691,18129,40881,0.0010658708164570454,0.0009928843289756743,0.004060566033120521,5.0,18.0,166.0,0.2624931617324125,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
swift,Swift,language,4691,18129,40881,0.0008526966531656363,0.0013238457719675658,0.0032778063158924683,4.0,24.0,134.0,0.260142476701973,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
weaviate,Weaviate,ai_ml,4691,18129,40881,0.00021317416329140907,0.0,0.00486778699151195,1.0,0.0,199.0,0.043792828992543185,True,"flagged; not a known markdown-escape edge case, likely composition/source difference or needs semantic review"
agile,Agile,practice,4691,18129,40881,0.02963120869750586,0.027580120249324287,0.035664489616203124,139.0,500.0,1458.0,0.830832265269367,False,not flagged
airflow,Airflow,data,4691,18129,40881,0.0211042421658495,0.016382591428098628,0.036618478021574814,99.0,297.0,1497.0,0.5763276713307237,False,not flagged
angular,Angular,framework,4691,18129,40881,0.10509486250266467,0.09923327265706879,0.08615249137741249,493.0,1799.0,3522.0,1.2198702651821223,False,not flagged
ansible,Ansible,cloud,4691,18129,40881,0.04540609678107013,0.04771360803133102,0.04968078080281794,213.0,865.0,2031.0,0.9139569879403879,False,not flagged
api_design,API design,practice,4691,18129,40881,0.14986143679386058,0.1253792266534282,0.27396590102981827,703.0,2273.0,11200.0,0.5470076247830191,False,not flagged
aspnet,ASP.NET,framework,4691,18129,40881,0.02558089959496909,0.025428870869876993,0.014040752427778186,120.0,461.0,574.0,1.82190375669326,False,not flagged
aws,AWS,cloud,4691,18129,40881,0.2692389682370497,0.25472999062275914,0.34512365157408087,1263.0,4618.0,14109.0,0.7801232022467097,False,not flagged
azure,Azure,cloud,4691,18129,40881,0.2131741632914091,0.18936510563186054,0.2366625082556689,1000.0,3433.0,9675.0,0.9007517281153586,False,not flagged
bash_shell,Bash/Shell,language,4691,18129,40881,0.03901087188232786,0.04600364057587291,0.059832195885619235,183.0,834.0,2446.0,0.6520046825108117,False,not flagged
bdd,BDD,practice,4691,18129,40881,0.011937753144318908,0.009487561365767555,0.010298182529781562,56.0,172.0,421.0,1.1592097061589104,False,not flagged
bigquery,BigQuery,data,4691,18129,40881,0.008953314858239182,0.00501958188537702,0.017367481225997405,42.0,91.0,710.0,0.5155217812953183,False,not flagged
bitbucket,Bitbucket,tooling,4691,18129,40881,0.021956938819015136,0.02664239616084726,0.018615004525329614,103.0,483.0,761.0,1.17952906157708,False,not flagged
cassandra,Cassandra,data,4691,18129,40881,0.01364314645065018,0.01704451431408241,0.015288275727110393,64.0,309.0,625.0,0.892392752078448,False,not flagged
ci_cd,CI/CD,devops,4691,18129,40881,0.19675975271797058,0.1429753433724971,0.33592622489665125,923.0,2592.0,13733.0,0.5857231086334636,False,not flagged
