emerging_category,title_count,scraped_2026_postings,pooled_2024_postings,examples
AI/ML/Data,53,682,43,"AI/ML Engineer; Senior AI/ML Engineer; Applied AI Engineer; Principal AI Engineer; AI Platform Engineer; AI Developer; Data Engineer Senior; Senior Software Engineer, Data Platform"
Other,52,631,155,"Software Engineer [Multiple Positions Available]; Senior Software Engineer, Fullstack; Software Engineer, Product; Software Engineer IV; Mid-Level Software Engineer; Founding Software Engineer; Senior Software Engineer II; Junior Software Developer"
Platform/Infrastructure,34,337,88,"Software Engineer, Infrastructure; Cloud Platform Engineer; DevOps Engineer, Senior; Site Reliability Engineer (SRE); Software Engineer, Platform; Lead Site Reliability Engineer; Staff Software Engineer, Platform; Site Reliability Engineer III"
Full-stack/Web,19,218,60,"Senior Software Engineer - Frontend; Senior Full Stack Java Developer; Senior Java Full Stack Developer; Vice President, Full-Stack Engineer; Lead Full Stack Engineer; Frontend Software Engineer; Full Stack Web Developer; Staff Software Engineer, Full Stack"
Mobile,10,142,13,"Mobile Apps Test Automation Engineer; Staff Software Engineer - iOS; Software Engineer, iOS; iOS Engineer; Staff Software Engineer, Android; Android Engineer; Senior Mobile Engineer; Staff iOS Engineer"
QA/Test,11,141,50,Software Development Engineer in Test (SDET); Test Engineer II; Software Developer in Test (SDET); Test Development Engineer; Senior Software Quality Engineer; Software QA Engineer; Sr. QA Engineer; Lead Quality Assurance Engineer
Management/Leadership,11,108,6,"Lead Software Engineer - Java; Staff Software Engineer, Fullstack; Lead Software Engineer - Java, AWS; (USA) Staff, Software Engineer; Principal Software Engineer - CoreAI; Principal Software Development Engineer; GCP Lead Software Engineer; Lead Systems Operations Engineer"
Embedded/Firmware,5,62,15,Robotics Software Engineer; Staff Embedded Software Engineer; Engineer Embedded Software 3; Senior Robotics Software Engineer; Embedded Software Engineer - Viasat Government
Backend/API,4,59,7,"Staff Software Engineer - Backend; Backend Developer; Founding Backend Engineer; Sr. Software Engineer, Backend"
Security,1,30,14,Senior DevSecOps Engineer
