uid,title,desc_head
linkedin_li-4367916582,Principal Software Engineer,"**Overview**
 Core AI is at the forefront of Microsoft’s mission to redefine how software is built and experienced. We are responsible for building the foundational platforms, services, programming models, and developer experiences that power the next generation of applications using Generative AI. Our work enables developers and enterprises to harness the full potential of AI to create intelligen"
linkedin_li-4388737919,"Staff Software Engineer, (Backend) Uber AI Solutions","**About The Role**
 At Uber, our mission is to be the platform of choice for flexible earning opportunities. We are expanding this vision through
 **Uber AI Solutions (UAIS)** 
 , a fast-growing team operating like a startup within Uber.
   

  

 We are building
 **foundational model data infrastructure** 
 for the next generation of AI systems, where human intelligence and machine learning model"
linkedin_li-3981020680,"Sr. Machine Learning Engineer, Monetization Engineering","**About Pinterest**
 Millions of people around the world come to our platform to find creative ideas, dream about new possibilities and plan for memories that will last a lifetime. At Pinterest, we’re on a mission to bring everyone the inspiration to create a life they love, and that starts with the people behind the product.
   

  

 Discover a career where you ignite innovation for millions, tr"
linkedin_li-4364781719,Senior Software Engineer – Applied Generative AI,"**Company Description**
 SquareTrade is the fastest growing company of its kind. We’re revolutionizing a $30b industry with service innovation and attention to customer satisfaction. We partner with some of the largest, most sophisticated retailers and carriers in the world (Amazon, Walmart, The Home Depot to name a few), consistently win industry awards, have received tens of thousands of 5-star "
linkedin_li-4393055412,"Gen AI-ML Engineer, AVP","**Overview Of The Role**
 Citi, the leading global bank, has approximately 200 million customer accounts and does business in more than 160 countries and jurisdictions. Citi provides consumers, corporations, governments, and institutions with a broad range of financial products and services, including consumer banking and credit, corporate and investment banking, securities brokerage, transaction "
linkedin_li-4397611316,Python Developer,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, TekLeaders, Inc, is seeking the following. Apply via Dice today!
   

  

**Python Developer**
**On-site in Plano, TX; San Antonio, TX or Phoenix, AZ**
**12 Month Contract - Can Be Extended**
**Role Overview**
 We are seeking a Sr. Software Engineer to build, operate, and scale Python APIs and back"
linkedin_li-4389275077,Senior Software Developer,"**Position:** 
 Developer V
   

**Location:** 
 Plano, TX (Hybrid) or Reston, VA ()
   

**Duration:** 
 12\+ Months
   

  

**Job Overview:** 

**W2 Only**
  

 We are seeking a hands-on Senior Software Developer to join our team and contribute to building scalable, cloud-native applications. The ideal candidate will have extensive experience in designing, developing, and optimizing services an"
linkedin_li-4318730973,"AI Full Stack Engineer, Manager - Tax Transformation","If you are a technology visionary with a passion for transforming global tax business with digital technology, consider working with the US Tax Transformation technology team. This is an exciting opportunity to support global execution of Deloitte's tax strategy as we shift from ""doing digital"" to ""being digital"" by reimagining how we engage with our clients, deliver our services, operate our busi"
linkedin_li-4399692198,Principal Data Engineer,"**Octus** 

 Octus is a leading global provider of credit intelligence, data, and analytics. Since 2013, tens of thousands of professionals across hedge fund, investment banking, management consulting, and law firm verticals have come to rely on Octus to make better, faster, and more confident decisions in pace with the fast-moving credit markets.
   

 For more information, visit: https://octus.c"
linkedin_li-4390180084,Senior Backend Engineer,"**About Blitzy** 

 Blitzy is a Cambridge, MA based AI software development platform on a mission to revolutionize the software development life cycle by autonomously building custom software to unlock the next industrial revolution. We're transforming how enterprises build software, turning enterprise requirements into production-ready code with an agentic software development platform that can a"
linkedin_li-4374091114,Principal Software Engineer,"**Principal Engineer - Agentic AI**
**Who We Are**
 Solera is a global leader in data and software services that strives to transform every touchpoint of the vehicle lifecycle into a connected digital experience. In addition, we provide products and services to protect life’s other most important assets: our homes and digital identities. Today, Solera processes over 300 million digital transaction"
linkedin_li-4385758535,Sr Software Engineer - AI,"**Senior AI Engineer - Greenfield GenAI \& Agentic Systems** 

**Boston (Hybrid) - 1 day per week** 

  

 Help build the next generation of AI inside one of the world’s leading quantitative investment firms.
 

  

 This is a greenfield build - you’ll be the engineer designing how AI is done here. You’ll work with a world-class technical team to turn generative and agentic AI from concept into pr"
linkedin_li-4393277274,"Sr. Product Engineer, AI Systems","Employ is transforming how hiring gets done. With our three ATS solutions - Jobvite, Lever, and JazzHR - plus cutting-edge AI Companions, we free recruiters from admin work and give them more time for what matters: connecting with people. More than 23,000 global customers rely on Employ to make millions of candidate connections each year, helping them hire smarter, faster, and at scale. From growi"
linkedin_li-4396663328,Staff Data Platform Engineer,"**About Airwallex**
 Airwallex is the only unified payments and financial platform for global businesses. Powered by our unique combination of proprietary infrastructure and software, we empower over 200,000 businesses worldwide – including Brex, Rippling, Navan, Qantas, SHEIN and many more – with fully integrated solutions to manage everything from business accounts, payments, spend management an"
linkedin_li-4400645822,Sr. Distinguished AI Engineer,"At Capital One, we are creating responsible and reliable AI systems, changing banking for good. For years, Capital One has been an industry leader in using machine learning to create real-time, personalized customer experiences. Our investments in technology infrastructure and world-class talent — along with our deep experience in machine learning — position us to be at the forefront of enterprise"
linkedin_li-4388950663,"Senior Software Engineer, TV Systems Performance","**Minimum qualifications:**
* Bachelor's degree or equivalent practical experience.
* 5 years of experience with software development in one or more programming languages (C\+\+, Python).
* 4 years of experience in Android application development.
* 3 years of experience testing, maintaining, or launching software products, and 1 year of experience with software design and architecture.
* 3 years "
linkedin_li-4389773069,Lead AI/ML Engineer - Remote,"Optum Tech is a global leader in health care innovation. Our teams develop cutting-edge solutions that help people live healthier lives and help make the health system work better for everyone. From advanced data analytics and AI to cybersecurity, we use innovative approaches to solve some of health care's most complex challenges. Your contributions here have the potential to change lives. Ready t"
linkedin_li-4395013502,Principal Software Engineer- AI,"**About The Job**
 The Digital workforce team is part of Red Hat’s Data and AI organization. The team is focused on building and delivering strategic AI agents designed to augment human capabilities, accelerate workflows, and scale operations across the enterprise.
   

  

 We are seeking a highly experienced Principal Data Scientist to lead our initiatives in natural language processing (NLP), m"
linkedin_li-4395490061,"Senior Cloud Software Engineer, Developer Tools","We are seeking a Senior Software Engineer to help build and improve AI Assisted Developer Tools connected through web APIs, IDEs and agents. Apply your expertise with delivering user-focused cloud products that enable both rapid prototyping and the next generation of highly automated AI assisted CUDA development, from coding to profiling and performance fine-tuning.
   

  

 In this role, you wil"
linkedin_li-4381077297,"Senior / Staff Product Engineer, Machine Learning","**About Radar**
 Radar is the global leader in geolocation, with geofencing SDKs, maps APIs, and AI-enabled solutions for marketing, fraud, and operations teams.
   

  

 Why is Radar the best place to work?
   

  

* We're trusted by some of the world's best companies, from high-growth startups to the Fortune 500\.
* We have incredible scale: We're processing over 1 billion API calls per day fr"
