period,uid,source,title,matched_sub,context_200c
2024,asaniczka_0b10927a9ea3c40c,kaggle_asaniczka,Sr. AI Engineer (NLP),ai,mestic international qualifications/requirements technology related driving definition introduction ai/ml combination education/experience degree including limited practical transformer models vision/li
2024,asaniczka_77f4f0c714085e3a,kaggle_asaniczka,Senior Frontend Software Engineer,gpt-4,tware methodologies qualifications familiarity generative technologies including use genai apis e.g gpt-4 palm embeddings databases etc familiarity end-to-end including node.js developing no-code workflows
2024,arshkon_3905338394,kaggle_arshkon,"Senior Software Engineer, Data Engineering - ThousandEyes",ml,erprise-wide used initiatives company participate variety exciting designing robust fully pipelines ml-based company-wide productivity passion designing implementing solutions move analyze large volumes
2024,asaniczka_ff1c2bf46b6c2f15,kaggle_asaniczka,Machine Learning Engineer- MLOps,ai,ning end end operationalize monitor models azure azure azure services etc implementation principles ai/ml governance execute practices continuous scientists stakeholders fast-paced cross-functional skil
2024,asaniczka_41dfbb171bcfcc05,kaggle_asaniczka,Java Developer with Multithreading Expertise,fine-tune,ent synchronization locking concurrency mechanisms ensure consistency avoid race conditions profile fine-tune identify bottlenecks review provide feedback enforce practices multithreaded diagnose multithreadin
2024,arshkon_3902347170,kaggle_arshkon,Machine Learning Engineer [4414],ml,chelor degree practical software languages structures/algorithms languages/softwares limited apache ml/optimization scala following areas recommendation systems recognition artificial ml/ai algorithms a
2024,arshkon_3884440937,kaggle_arshkon,Senior Software Engineer Insurance Platform,llm,owing team.deliver multi-year roadmap global implementation cutting-edge technologies including use llm.collaborate numerous teams typical teams understand pain proposed solutions adoption paved tooling 
2024,asaniczka_d8bc82e00c5b1697,kaggle_asaniczka,GDOT - .Net Developer 3,mcp,n azure azure b2c would application deployments debugging git tfs party etc would friendly ui would mcp c# framework would mandatory communication customer interaction required bachelor degree technology
2024,asaniczka_f64af82da9e05eec,kaggle_asaniczka,Software Engineer/Architect Lead,ai,al soa microservices understand requirements propose software solutions dictionary software company ai/ml software maintain ensure customer internal external clients define features successfully contrib
2024,asaniczka_0c59dae094e1b3b9,kaggle_asaniczka,Senior System Engineer,mcp,ctory conceptual systems san/nas desired qualifications following certifications desirable position mcp comptia a+ network+ security+ azure itil foundations v3 covid policy require covid-19 vaccinations 
2024,arshkon_3905377106,kaggle_arshkon,Sr. Software Developer,fine-tuning,performance.sql expertise maintain sql databases involves creating database schemas writing queries fine-tuning database efficiency.data replication implement maintain replication ensure consistency distributed 
2024,asaniczka_2314bcdfb94ca488,kaggle_asaniczka,Sr. Software Engineer - Full Stack,ai, implement policies handle sensitive tackle challenging problems intersection systems gain exposure ai/ml collaborative discussions iterate quickly ui evolves scope feature rest world-class researchers 
2024,asaniczka_f75c70953f5cb557,kaggle_asaniczka,Senior Embedded System Engineer,ai,description software integrates vision/ai conduct fields qualifications degree related fields hands-on setup debugging arduino ros bonus qual
